epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,531.881,2.31396,2.94864,2.37723,0.00572,0.35433,0.015,0.00325,3.14695,391.218,4.11149,0.0701376,0.00331804,0.00331804
2,1038,2.38078,2.97665,2.45319,0.09261,0.09449,0.0762,0.0172,2.62238,9.39643,2.92184,0.0398742,0.00638798,0.00638798
3,1539.64,2.30937,2.79006,2.34995,0.20989,0.15748,0.08424,0.02134,2.95379,4.53102,3.14298,0.00934683,0.00919392,0.00919392
4,2040.13,2.23284,2.7412,2.30255,0.33562,0.32677,0.26055,0.10629,2.21282,3.18618,2.37596,0.008812,0.008812,0.008812
5,2548.03,2.19102,2.60149,2.23188,0.2738,0.27559,0.20287,0.07792,2.15549,3.78973,2.34281,0.008416,0.008416,0.008416
6,3051.56,2.0986,2.50124,2.15787,0.52034,0.34252,0.335,0.14726,2.07144,3.82813,2.25448,0.00802,0.00802,0.00802
7,3558.25,2.0473,2.474,2.11378,0.4376,0.26378,0.22209,0.08441,2.32086,2.98169,2.47412,0.007624,0.007624,0.007624
8,4062.16,2.04008,2.39733,2.11186,0.37113,0.35433,0.32112,0.12163,2.06429,3.00746,2.26839,0.007228,0.007228,0.007228
9,4564.69,2.01283,2.38513,2.11334,0.53642,0.39764,0.41171,0.16335,2.0532,2.49049,2.231,0.006832,0.006832,0.006832
10,5072.89,1.99411,2.32718,2.05485,0.47516,0.36614,0.34275,0.15074,1.95923,2.45274,2.13452,0.006436,0.006436,0.006436
11,5578.75,1.92928,2.25185,2.00017,0.58261,0.43414,0.44874,0.18525,2.01085,2.1963,2.13204,0.00604,0.00604,0.00604
12,6086.16,1.9252,2.22688,2.00267,0.55306,0.42126,0.43588,0.18227,2.01221,2.29294,2.17448,0.005644,0.005644,0.005644
13,6593.1,1.89398,2.17805,1.97096,0.66654,0.48005,0.49631,0.21298,1.92811,2.16693,2.06118,0.005248,0.005248,0.005248
14,7101.86,1.86477,2.18122,1.95056,0.64628,0.49606,0.49161,0.21055,1.95111,2.08238,2.08291,0.004852,0.004852,0.004852
15,7610.62,1.88797,2.1443,1.94364,0.59205,0.49213,0.44496,0.19661,1.91383,2.18797,2.0794,0.004456,0.004456,0.004456
16,8116.25,1.87532,2.09258,2.0391,0.6775,0.46318,0.51291,0.23627,1.87688,1.94994,2.02721,0.00406,0.00406,0.00406
17,8623.3,1.85563,1.95522,2.01451,0.66095,0.52189,0.53702,0.23667,1.91123,1.84246,2.02294,0.003664,0.003664,0.003664
18,9279.16,1.80255,1.89773,1.96367,0.73957,0.5,0.56981,0.26338,1.84328,1.8649,1.97772,0.003268,0.003268,0.003268
19,9803.3,1.79043,1.85492,1.94663,0.67742,0.5315,0.57316,0.27041,1.80851,1.79929,1.94796,0.002872,0.002872,0.002872
20,12590.3,1.75496,1.79539,1.9314,0.69354,0.55118,0.57837,0.26778,1.86792,1.79488,1.99886,0.002476,0.002476,0.002476
21,13653.6,1.76384,1.77908,1.9296,0.70201,0.56693,0.59229,0.29181,1.81137,1.67941,1.93608,0.00208,0.00208,0.00208
22,15212.2,1.73313,1.74777,1.88856,0.71468,0.55224,0.61454,0.29766,1.85996,1.67379,1.97418,0.001684,0.001684,0.001684
23,15863.7,1.70638,1.70521,1.87549,0.65662,0.60227,0.59699,0.30209,1.80528,1.67972,1.91166,0.001288,0.001288,0.001288
24,16396.9,1.68962,1.6625,1.83376,0.70935,0.5748,0.61423,0.31573,1.80232,1.63788,1.91112,0.000892,0.000892,0.000892
25,16925.6,1.66433,1.62987,1.83263,0.7028,0.59449,0.62628,0.31581,1.77172,1.601,1.90008,0.000496,0.000496,0.000496
